run1_id,run2_id,ari_score,run1_sample,run1_network_method,run1_community_method,run1_param_id,run1_n_communities,run2_sample,run2_network_method,run2_community_method,run2_param_id,run2_n_communities,same_sample,same_network_method,same_community_method,same_param_id,common_outlets,comparison_type
sample_00_jaccard_spectral_clustering_params_7,sample_08_conditional_probability_walktrap_params_4,-0.06177470402063064,sample_00,jaccard,spectral_clustering,params_7,5,sample_08,conditional_probability,walktrap,params_4,2,False,False,False,False,49,diff_method_diff_sample
sample_02_jaccard_spectral_clustering_params_3,sample_19_conditional_probability_spectral_clustering_params_7,0.10696584037836798,sample_02,jaccard,spectral_clustering,params_3,5,sample_19,conditional_probability,spectral_clustering,params_7,5,False,False,True,False,49,diff_method_diff_sample
sample_08_jaccard_walktrap_params_1,sample_08_dice_spectral_clustering_params_6,0.93688607815265,sample_08,jaccard,walktrap,params_1,3,sample_08,dice,spectral_clustering,params_6,3,True,False,False,False,49,same_sample_diff_method
sample_02_cooccurrence_louvain_params_1,sample_10_tfidf_similarity_fast_greedy_params_1,0.06113375324194146,sample_02,cooccurrence,louvain,params_1,7,sample_10,tfidf_similarity,fast_greedy,params_1,2,False,False,False,True,49,diff_method_diff_sample
sample_10_cooccurrence_walktrap_params_1,sample_19_conditional_probability_spectral_clustering_params_9,0.3194444444444444,sample_10,cooccurrence,walktrap,params_1,2,sample_19,conditional_probability,spectral_clustering,params_9,3,False,False,False,False,49,diff_method_diff_sample
sample_06_cooccurrence_spectral_clustering_params_7,sample_08_cooccurrence_spectral_clustering_params_2,0.6666666666666666,sample_06,cooccurrence,spectral_clustering,params_7,5,sample_08,cooccurrence,spectral_clustering,params_2,4,False,True,True,False,49,same_method_diff_sample
sample_14_lift_fast_greedy_params_0,sample_19_jaccard_threshold_components_params_3,0.1578482466213232,sample_14,lift,fast_greedy,params_0,10,sample_19,jaccard,threshold_components,params_3,21,False,False,False,False,49,diff_method_diff_sample
sample_10_dice_louvain_params_2,sample_19_cosine_spectral_clustering_params_8,0.054535302146668324,sample_10,dice,louvain,params_2,6,sample_19,cosine,spectral_clustering,params_8,8,False,False,False,False,49,diff_method_diff_sample
sample_05_correlation_girvan_newman_params_0,sample_08_cooccurrence_threshold_components_params_4,-0.02757828210284401,sample_05,correlation,girvan_newman,params_0,2,sample_08,cooccurrence,threshold_components,params_4,25,False,False,False,False,49,diff_method_diff_sample
sample_00_conditional_probability_spectral_clustering_params_0,sample_12_cooccurrence_threshold_components_params_3,-0.09326145552560647,sample_00,conditional_probability,spectral_clustering,params_0,2,sample_12,cooccurrence,threshold_components,params_3,21,False,False,False,False,49,diff_method_diff_sample
sample_01_dice_walktrap_params_4,sample_08_cooccurrence_spectral_clustering_params_5,0.008047277756821325,sample_01,dice,walktrap,params_4,2,sample_08,cooccurrence,spectral_clustering,params_5,8,False,False,False,False,49,diff_method_diff_sample
sample_08_cosine_spectral_clustering_params_8,sample_08_conditional_probability_spectral_clustering_params_2,0.1488948638874333,sample_08,cosine,spectral_clustering,params_8,8,sample_08,conditional_probability,spectral_clustering,params_2,4,True,False,True,False,49,same_sample_diff_method
sample_05_cooccurrence_spectral_clustering_params_7,sample_19_cosine_fast_greedy_params_0,0.24092271872947327,sample_05,cooccurrence,spectral_clustering,params_7,5,sample_19,cosine,fast_greedy,params_0,8,False,False,False,False,49,diff_method_diff_sample
sample_06_lift_spectral_clustering_params_6,sample_06_conditional_probability_louvain_params_3,-0.06509478945724198,sample_06,lift,spectral_clustering,params_6,3,sample_06,conditional_probability,louvain,params_3,4,True,False,False,False,49,same_sample_diff_method
sample_13_cooccurrence_walktrap_params_3,sample_16_jaccard_louvain_params_0,0.11539505837632365,sample_13,cooccurrence,walktrap,params_3,2,sample_16,jaccard,louvain,params_0,6,False,False,False,False,49,diff_method_diff_sample
sample_05_jaccard_spectral_clustering_params_1,sample_07_dice_walktrap_params_4,0.6157655798596781,sample_05,jaccard,spectral_clustering,params_1,3,sample_07,dice,walktrap,params_4,2,False,False,False,False,49,diff_method_diff_sample
sample_12_jaccard_louvain_params_3,sample_12_dice_louvain_params_7,0.1660691474018214,sample_12,jaccard,louvain,params_3,3,sample_12,dice,louvain,params_7,21,True,False,True,False,49,same_sample_diff_method
sample_11_cooccurrence_louvain_params_6,sample_15_pmi_spectral_clustering_params_7,0.021620982986767484,sample_11,cooccurrence,louvain,params_6,10,sample_15,pmi,spectral_clustering,params_7,5,False,False,False,False,49,diff_method_diff_sample
sample_05_cosine_spectral_clustering_params_4,sample_07_dice_walktrap_params_0,0.1298540762180415,sample_05,cosine,spectral_clustering,params_4,6,sample_07,dice,walktrap,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_12_lift_louvain_params_3,sample_19_cosine_louvain_params_4,0.012071353429550976,sample_12,lift,louvain,params_3,2,sample_19,cosine,louvain,params_4,7,False,False,True,False,49,diff_method_diff_sample
sample_07_lift_fast_greedy_params_0,sample_17_jaccard_threshold_components_params_3,0.3622892181911088,sample_07,lift,fast_greedy,params_0,9,sample_17,jaccard,threshold_components,params_3,23,False,False,False,False,49,diff_method_diff_sample
sample_03_correlation_spectral_clustering_params_8,sample_10_cosine_spectral_clustering_params_10,0.5612688667178306,sample_03,correlation,spectral_clustering,params_8,8,sample_10,cosine,spectral_clustering,params_10,5,False,False,True,False,49,diff_method_diff_sample
sample_01_jaccard_louvain_params_0,sample_03_tfidf_similarity_louvain_params_6,-0.00011400453811613018,sample_01,jaccard,louvain,params_0,2,sample_03,tfidf_similarity,louvain,params_6,8,False,False,True,False,49,diff_method_diff_sample
sample_16_lift_walktrap_params_2,sample_18_cooccurrence_threshold_components_params_1,0.17153112307546992,sample_16,lift,walktrap,params_2,2,sample_18,cooccurrence,threshold_components,params_1,5,False,False,False,False,49,diff_method_diff_sample
sample_05_lift_spectral_clustering_params_11,sample_14_jaccard_louvain_params_6,0.051096165603982883,sample_05,lift,spectral_clustering,params_11,8,sample_14,jaccard,louvain,params_6,8,False,False,False,False,49,diff_method_diff_sample
sample_11_dice_spectral_clustering_params_7,sample_19_tfidf_similarity_walktrap_params_2,0.24463915148720314,sample_11,dice,spectral_clustering,params_7,5,sample_19,tfidf_similarity,walktrap,params_2,2,False,False,False,False,49,diff_method_diff_sample
sample_10_dice_spectral_clustering_params_0,sample_10_correlation_spectral_clustering_params_3,0.17706047305535236,sample_10,dice,spectral_clustering,params_0,2,sample_10,correlation,spectral_clustering,params_3,5,True,False,True,False,49,same_sample_diff_method
sample_02_dice_threshold_components_params_2,sample_08_conditional_probability_louvain_params_5,-0.026764571019390337,sample_02,dice,threshold_components,params_2,4,sample_08,conditional_probability,louvain,params_5,5,False,False,False,False,49,diff_method_diff_sample
sample_16_cooccurrence_spectral_clustering_params_2,sample_18_conditional_probability_spectral_clustering_params_10,0.3523897341324727,sample_16,cooccurrence,spectral_clustering,params_2,4,sample_18,conditional_probability,spectral_clustering,params_10,5,False,False,True,False,49,diff_method_diff_sample
sample_09_cooccurrence_louvain_params_3,sample_13_cooccurrence_spectral_clustering_params_6,-0.07202648200289172,sample_09,cooccurrence,louvain,params_3,2,sample_13,cooccurrence,spectral_clustering,params_6,3,False,True,False,False,49,diff_method_diff_sample
sample_11_cosine_girvan_newman_params_0,sample_13_dice_spectral_clustering_params_1,0.0281337727328207,sample_11,cosine,girvan_newman,params_0,2,sample_13,dice,spectral_clustering,params_1,3,False,False,False,False,49,diff_method_diff_sample
sample_05_cooccurrence_spectral_clustering_params_3,sample_13_correlation_spectral_clustering_params_6,0.030851606323304435,sample_05,cooccurrence,spectral_clustering,params_3,5,sample_13,correlation,spectral_clustering,params_6,3,False,False,True,False,49,diff_method_diff_sample
sample_10_tfidf_similarity_spectral_clustering_params_0,sample_13_tfidf_similarity_louvain_params_2,0.45151633476506575,sample_10,tfidf_similarity,spectral_clustering,params_0,2,sample_13,tfidf_similarity,louvain,params_2,7,False,True,False,False,49,diff_method_diff_sample
